ics,measured_item_isscfc
1531,035.02.1.5.5.193
1515,034.2.5.1.49
1518,035.02.1.5.1.19
1518,035.02.1.5.1.90
1518,035.02.1.5.1.13
1563,036.0.2.6.4.20
1563,036.0.2.6.4.30
1571,036.0.2.6.7.19
1571,036.0.2.6.7.39
1523,411.11.5.1.19
1557,037.2.1.1.5.905
1515,034.2.5.1.90
1565,037.2.2.1.4.91
1565,037.2.2.1.4.92
1553,036.0.1.6.2.10
1553,036.0.1.6.2.30
1554,036.0.1.4.2.30
1555,036.0.1.5.3.90
1564,036.0.2.5.6.10
1501,034.1.4.3.30
1505,035.03.4.3.90
1565,037.2.2.1.3.30
1550,081.42.1.5.9.99
1517,034.4.1.5.8.66
1515,034.2.5.8.66
1514,034.1.5.8.66
1562,036.0.2.3.2.30
1563,036.0.2.4.2.30
1564,036.0.2.5.2.30
1565,037.2.2.1.2.30
1515,034.2.5.2.11
1533,037.1.3.5.6.91
1563,036.0.2.6.6.10
1545,037.1.3.6.91
1546,037.1.3.6.92
1563,036.0.2.6.2.10
1515,034.2.5.2.12
1501,034.1.3.9.55
1514,034.1.5.2.50
1546,034.1.9.2.10
1520,034.1.9.2.30
1502,034.2.3.9.55
1515,034.2.5.2.50
1503,034.3.1.3.9.85
1529,034.3.1.5.6.95
1515,034.2.5.2.19
1501,034.3.2.1.4.5.90
1501,034.3.2.2.3.87
1501,034.3.2.2.4.3.90
1501,034.3.2.2.4.5.90
1514,034.3.2.2.5.1.90
1515,034.2.5.2.30
1514,034.3.2.2.5.2.90
1514,034.3.2.2.5.3.90
1527,034.3.2.2.5.5.90
1527,034.3.2.2.5.6.95
1527,034.3.2.2.5.7.90
1514,034.3.2.2.5.8.90
1504,034.4.1.3.9.85
1515,034.2.5.2.40
1530,034.4.1.5.6.95
1517,034.4.3.5.2.90
1502,034.4.4.1.3.9.90
1502,034.4.4.2.3.9.30
1502,034.4.4.2.3.9.87
1502,034.4.4.2.4.5.90
1515,034.4.4.2.5.2.95
1528,034.4.4.2.5.5.90
1528,034.4.4.2.5.6.90
1515,034.2.5.2.45
1515,034.4.4.2.5.8.70
1515,034.4.4.2.5.8.90
1505,035.02.1.4.5.90
1531,035.02.1.5.6.95
1531,035.02.1.5.7.90
1515,034.2.5.2.53
1518,035.02.1.5.8.90
1505,035.02.2.3.9.87
1531,035.02.2.5.6.95
1518,035.02.2.5.8.90
1505,035.02.3.3.9.87
1518,035.02.3.5.1.90
1531,035.02.3.5.6.99
1546,035.02.3.9.2.90
1505,035.03.3.9.87
1531,035.03.5.6.95
1518,035.03.5.8.90
1554,036.0.1.4.5.10
1554,036.0.1.4.5.60
1553,036.0.1.6.5.10
1562,036.0.2.3.6.80
1564,036.0.2.5.2.90
1563,036.0.2.6.2.90
1515,034.2.5.2.90
1563,036.0.2.6.3.10
1563,036.0.2.6.6.80
1563,036.0.2.6.6.90
1571,036.0.2.6.7.90
1519,037.1.1.5.1.90
1532,037.1.1.5.6.99
1519,037.1.1.5.8.90
1501,034.1.4.3.39
1515,034.2.5.3.22
1507,037.1.3.4.5.90
1520,037.1.3.5.1.90
1520,037.1.3.5.2.90
1520,037.1.3.5.3.90
1520,037.1.3.5.4.90
1515,034.2.5.3.24
1533,037.1.3.5.5.90
1573,037.2.2.1.7.50
1523,411.11.5.1.90
1509,411.12.4.5.90
1522,411.12.5.2.90
1535,411.12.5.7.90
1527,034.3.2.2.5.6.90
1502,034.4.4.2.4.3.39
1515,034.2.5.3.36
1502,034.4.4.2.4.3.50
1502,034.4.4.2.4.3.90
1505,035.02.1.4.2.10
1505,035.02.1.4.3.39
1505,035.02.1.4.5.15
1518,035.02.1.5.2.40
1518,035.02.1.5.2.61
1518,035.02.1.5.2.70
1515,034.2.5.3.46
1518,035.02.1.5.2.80
1518,035.02.1.5.2.99
1531,035.02.1.5.5.55
1531,035.02.1.5.5.21
1531,035.02.1.5.5.60
1531,035.02.1.5.5.70
1531,035.02.1.5.6.10
1531,035.02.1.5.6.91
1531,035.02.1.5.7.02
1531,035.02.1.5.7.69
1515,034.2.5.4.09
1518,035.02.1.5.8.70
1544,035.02.1.6.91
1544,035.02.1.6.92
1544,035.02.1.6.99
1505,035.02.2.4.3.50
1518,035.02.2.5.2.30
1544,035.02.3.6.99
1515,034.2.5.4.11
1587,036.0.2.3.8.10
1587,036.0.2.3.8.20
1587,036.0.2.3.8.30
1587,036.0.2.3.8.90
1587,036.0.2.4.8.10
1587,036.0.2.4.8.20
1587,036.0.2.4.8.30
1587,036.0.2.4.8.90
1588,036.0.2.5.8.10
1590,036.0.2.5.8.20
1588,036.0.2.5.8.30
1564,036.0.2.5.8.90
1588,036.0.2.6.8.10
1588,036.0.2.6.8.20
1588,036.0.2.6.8.30
1588,036.0.2.6.8.35
1587,036.0.2.6.8.90
1587,036.0.2.6.8.95
1507,037.1.3.4.3.50
1590,037.2.2.1.8.10
1590,037.2.2.1.8.20
1590,037.2.2.1.8.30
1590,037.2.2.1.8.90
1515,034.4.4.2.5.2.91
1514,034.1.5.2.86
1518,035.02.2.5.2.40
1518,035.02.2.5.2.60
1518,035.02.1.5.2.30
1531,035.02.2.5.5.20
1516,034.3.1.5.1.19
1515,034.2.5.2.86
1515,034.2.5.3.462
